OBJECTID;id_arc;id_arc_tra;SHAPE.LEN;geo_shape;geo_point_2d
1219;1325.0;6831;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3239999962711693, 48.862891501937504], [2.324613362174592, 48.86257305117571]]}";48.8627322766, 2.32430667922
1220;1326.0;6758;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3239999962711693, 48.862891501937504], [2.327640716162986, 48.861745704264365]]}";48.8623186031, 2.32582035622
1222;1328.0;61;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.351336245294741, 48.855576909217774], [2.353188446975141, 48.854835205686], [2.3542191889249873, 48.85436166982721], [2.354961663626102, 48.85402933734513], [2.356144415936748, 48.85366034269413]]}";48.8545889541, 2.35373013082
1223;1329.0;434;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.356144415936748, 48.85366034269413], [2.357469497523531, 48.85323079447784], [2.357909266805112, 48.85304771480995]]}";48.8533675111, 2.35703182375
1224;1330.0;436;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.357909266805112, 48.85304771480995], [2.359392122228343, 48.85244912723805], [2.360434803007495, 48.85207519487123], [2.360858359353719, 48.85180587567369], [2.3610402530707972, 48.85150656174208], [2.361080416062886, 48.85122113670451]]}";48.8522998491, 2.35966446198
1228;1334.0;4715;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.273584493950317, 48.847402090797324], [2.271498170831757, 48.845371547355036]]}";48.8463868191, 2.27254133239
1238;1351.0;5581;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3106712395114632, 48.8449930884952], [2.306370818457848, 48.843718627643966]]}";48.8443558581, 2.30852102898
1247;1366.0;1886;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.325506585666515, 48.88757336044154], [2.323619666571668, 48.888644811364756]]}";48.8881090859, 2.32456312612
1259;1384.0;1686;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.344552957853142, 48.89789942309195], [2.34732323325815, 48.89816305392806], [2.352381927099544, 48.8983006174974]]}";48.8981606646, 2.34846373659
1264;1390.0;1596;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.349441024218693, 48.88358671332522], [2.349604299416591, 48.88360014155121]]}";48.8835934274, 2.34952266182
1276;1408.0;813;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3595583812239402, 48.81910696941863], [2.359154481285612, 48.82044927799509]]}";48.8197781237, 2.35935643125
1277;1409.0;814;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.359368628765586, 48.81910043792793], [2.357749727471146, 48.819263215805265]]}";48.8191818269, 2.35855917812
1286;1424.0;491;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3648099228059, 48.844293916900966], [2.364060044000073, 48.84483587143382]]}";48.8445648942, 2.3644349834
1296;1445.0;4676;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.376111514158317, 48.851252766867034], [2.378615026772104, 48.85062280481544]]}";48.8509377858, 2.37736327047
1303;1460.0;866;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.382251397528396, 48.82578874119086], [2.3834969276943, 48.82621188413045], [2.3860813881534773, 48.82744871679153]]}";48.8265691418, 2.38418659783
1306;1467.0;1408;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3876082417903532, 48.86285931157278], [2.392288750318663, 48.86407011377187]]}";48.8634647127, 2.38994849605
1307;1470.0;6406;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.38989673247878, 48.85818718200818], [2.390176115903281, 48.85814331410003], [2.392151683831311, 48.85752995905794], [2.394163416857667, 48.85648628901692]]}";48.8574501358, 2.39207331412
1312;1478.0;1475;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.406822242537547, 48.8770833847481], [2.408293197440298, 48.877605436865736]]}";48.8773444108, 2.40755771999
1313;1483.0;906;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.406608002361093, 48.835635292396205], [2.405718868165205, 48.835940375962764]]}";48.8357878342, 2.40616343526
1316;1487.0;1453;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.408657208571669, 48.86465464940487], [2.4080924521258362, 48.86456278073355], [2.404145989452048, 48.864709840872024]]}";48.8646328186, 2.40640466765
1318;1493.0;891;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.410909556189715, 48.84693634170974], [2.4108758805881623, 48.84674346864775], [2.410160535363307, 48.84433342038843]]}";48.8456324801, 2.41054526781
1321;1498.0;4678;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.254066636116901, 48.83840407757397], [2.2542259651748973, 48.83799344739429], [2.253835025710565, 48.836846757766885]]}";48.8376277149, 2.25406137233
1322;1501.0;647;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.339648705543525, 48.838833947586394], [2.337006189452476, 48.8347017709564]]}";48.8367678593, 2.3383274475
1332;1518.0;4959;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.33511159237133, 48.827398152625534], [2.341756726195495, 48.826407569792345]]}";48.8269028612, 2.33843415928
1335;1588.0;502;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.36764316233532, 48.84587063108869], [2.367567466095455, 48.84582446080985]]}";48.8458475459, 2.36760531422
1338;1601.0;463;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.368423621037846, 48.84527072927262], [2.36764316233532, 48.84587063108869]]}";48.8455706802, 2.36803339169
1345;1610.0;4874;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.393190688984752, 48.83852470718016], [2.3944581514246233, 48.83937027407042]]}";48.8389474906, 2.3938244202
